47,Doctorate,Male,Own,DSL,Married,2,2,2,1,1,Never,Monthly,DVD,Monthly,Weekly,877723,Rarely,Weekly,Cable,Spouse/Partner,0
35,"Bachelor's Degree",Male,Own,"Cable Modem",Married,2.5,4,2,2,2,Rarely,Rarely,DVD,Monthly,Monthly,877792,Rarely,Daily,Cable,Me,0
32,"Bachelor's Degree",Male,Own,"Cable Modem",Married,3.5,5,2,2,3,Never,Rarely,DVD,Monthly,Monthly,877840,Monthly,Weekly,Cable,Me,0
32,"Master's Degree",Male,Own,DSL,Married,2.5,4,2,2,1,Never,Never,VHS,Rarely,Rarely,878821,Rarely,Weekly,Cable,Me,0
33,"Master's Degree",Male,Own,"Cable Modem",Married,2.5,4,2,2,1,Never,Monthly,DVD,Monthly,Weekly,878842,Rarely,Weekly,Cable,Spouse/Partner,0
44,"Master's Degree",Male,Own,"Cable Modem",Married,2.5,4,2,2,4,Never,Weekly,DVD,Rarely,Weekly,878855,Weekly,Weekly,Cable,Me,0
39,"Master's Degree",Male,Own,"Cable Modem",Divorced,3,3,3,2,3,Rarely,Monthly,DVD,Monthly,Weekly,878871,Rarely,Rarely,"Digital Satellite",Me,0
29,"Master's Degree",Male,Rent,DSL,Married,1,2,1,1,1,Never,Rarely,DVD,Weekly,Weekly,878907,Monthly,Rarely,"Analog antennae",Me,0
41,Doctorate,Male,Own,Dial-Up,Married,2.5,4,2,4,4,Never,Rarely,DVD,Never,Weekly,878908,Rarely,Weekly,Cable,Other,0
44,Doctorate,Female,Own,DSL,"Never Married",0.5,2,1,1,1,Never,Monthly,VHS,Rarely,Monthly,878912,Never,Rarely,"Analog antennae",Spouse/Partner,0
59,"Master's Degree",Male,Own,DSL,Married,3.5,5,3,2,3,Never,Rarely,Betamax,Weekly,Weekly,878919,Rarely,Monthly,Cable,Other,0
45,"Bachelor's Degree",Male,Own,"Cable Modem",Married,4,5,2,1,7,Never,Never,DVD,Monthly,Monthly,878974,Monthly,Never,Cable,Me,0
32,"Bachelor's Degree",Male,Own,DSL,Married,2.5,4,2,2,2,Monthly,Rarely,DVD,Weekly,Weekly,878977,Rarely,Weekly,Cable,Me,0
32,"Bachelor's Degree",Male,Rent,DSL,Married,1,1,2,1,1,Never,Never,DVD,Rarely,Monthly,878993,Rarely,Weekly,"Digital Satellite",Me,0
40,"Associate's Degree",Male,Own,DSL,Married,3,6,2,2,3,Never,Rarely,DVD,Monthly,Monthly,879020,Rarely,Weekly,"Analog antennae",Me,0
39,"Bachelor's Degree",Male,Own,DSL,Married,2.5,3,3,1,2,Rarely,Rarely,DVD,Rarely,Rarely,879033,Monthly,Monthly,"Digital Satellite",Me,0
31,"Bachelor's Degree",Male,Rent,Other,Married,1,2,2,1,1,Weekly,Monthly,DVD,Monthly,Weekly,879061,Monthly,Daily,Cable,Me,0
31,"Bachelor's Degree",Male,Own,DSL,Married,2,4,2,2,3,Rarely,Monthly,DVD,Monthly,Weekly,879403,Rarely,Weekly,Cable,Me,0
45,"Master's Degree",Male,Own,Dial-Up,Married,4,5,2,2,1,Never,Never,VHS,Weekly,Weekly,879453,Rarely,Monthly,Cable,Me,0
42,"Master's Degree",Male,Own,DSL,Married,2.5,4,4,1,2,Never,Rarely,DVD,Monthly,Weekly,879454,Monthly,Daily,Cable,Me,0
45,Doctorate,Male,Own,IDSN,Married,2,3,2,2,4,Weekly,Rarely,DVD,Never,Monthly,879478,Rarely,Rarely,"Digital Satellite",Me,0
48,"Master's Degree",Male,Own,Dial-Up,Married,2.5,4,2,2,2,Never,Rarely,VHS,Weekly,Weekly,879500,Monthly,Rarely,"Digital Satellite",Me,0
