47,Doctorate,Male,Own,DSL,Married,1,Never,Monthly,DVD,Monthly,Rarely,Weekly,Cable,877723,0
44,"Master's Degree",Male,Own,"Cable Modem",Married,2,Never,Weekly,DVD,Rarely,Weekly,Weekly,Cable,877792,0
44,Doctorate,Female,Own,DSL,"Never Married",1,Never,Monthly,VHS,Rarely,Never,Rarely,"Analog antennae",877840,0
59,"Master's Degree",Male,Own,DSL,Married,2,Never,Rarely,Betamax,Weekly,Rarely,Monthly,Cable,878821,0
45,"Bachelor's Degree",Male,Own,"Cable Modem",Married,1,Never,Never,DVD,Monthly,Monthly,Never,Cable,878842,0
45,"Master's Degree",Male,Own,Dial-Up,Married,2,Never,Never,VHS,Weekly,Rarely,Monthly,Cable,878855,0
42,"Master's Degree",Male,Own,DSL,Married,1,Never,Rarely,DVD,Monthly,Monthly,Daily,Cable,878871,0
45,Doctorate,Male,Own,IDSN,Married,2,Weekly,Rarely,DVD,Never,Rarely,Rarely,"Digital Satellite",878907,0
48,"Master's Degree",Male,Own,Dial-Up,Married,2,Never,Rarely,VHS,Weekly,Monthly,Rarely,"Digital Satellite",878908,0
42,"Bachelor's Degree",Male,Own,Dial-Up,Married,3,Never,Rarely,DVD,Weekly,Monthly,Never,"Don't watch TV",878912,0
45,Doctorate,Male,Own,DSL,Married,1,Never,Rarely,DVD,Monthly,Monthly,Rarely,Cable,878919,0
47,"Master's Degree",Male,Rent,Dial-Up,Divorced,2,Never,Never,DVD,Monthly,Monthly,Weekly,Cable,878974,0
52,"Master's Degree",Male,Own,Dial-Up,Married,3,Rarely,Rarely,VHS,Monthly,Rarely,Weekly,Cable,878977,0
51,"Trade School",Male,Own,Dial-Up,Married,2,Never,Weekly,DVD,Never,Rarely,Weekly,"Digital Satellite",878993,0
48,"Bachelor's Degree",Female,Own,Dial-Up,Married,2,Never,Monthly,DVD,Weekly,Rarely,Rarely,"Analog antennae",879020,0
47,"Master's Degree",Female,Own,"Cable Modem",Other,2,Rarely,Monthly,DVD,Never,Monthly,Monthly,"Digital Satellite",879033,0
48,"Bachelor's Degree",Male,Own,Dial-Up,Married,3,Never,Weekly,DVD,Never,Rarely,Never,Cable,879061,0
