"Blues Brothers",0
"Godfather, The",0
"Being John Malkovich",0
"Forrest Gump",0
"Grumpy Old Men",0
"Star Wars Episode II: Attack of the Clones",0
Caddyshack,0
"Remember the Titans",0
"Star Wars",0
"Bull Durham",0
"Grosse Pointe Blank",0
"Forbidden Planet",0
Alien,0
Dune,0
"The Natural",0
"The Usual Suspects",0
"Apollo 13",0
"Pulp Fiction",0
"Apocalypse Now Redux",0
"Crouching Tiger, Hidden Dragon",0
Casablanca,0
GoldenEye,0
Braveheart,0
Highlander,0
"Bridge on the River Kwai, The",0
"Best in Show",0
"Apocalypse Now",0
"The Meaning of Life",0
"Das Boot",0
"Piano, The",0
"Starship Trooper",0
"Rosenrantz and Guildenstern are Dead",0
"Rear Window",0
"Monty Python's the Meaning of Life",0
"Time Bandits",0
"Run Lola Run (Lola Rennt)",0
"Unbearable Lightness of Being, The",0
Robocop,0
"Get Shorty",0
"Replacements, The",0
"Star Wars",0
Unbreakable,0
"Raiders of the Lost Ark",0
"Princess Bride, The",0
"Raiders of the Lost Ark",0
"Ferris Bueller's Day Off",0
"Mr. Holland's Opus",0
"Gosford Park",0
"Father of the Bride",0
"Singin' In The Rain",0
Armageddon,0
"A.I.: Artificial Intelligence",0
"Star Wars Episode I: The Phantom Menace",0
"Sixth Sense, The",0
"Coyote Ugly",0
"American President, The",0
"Wedding Singer, The",0
Anastasia,0
Grease,0
"Star Trek: First Contact",0
"Fugitive, The",0
X-Men,0
"Buffy The Vampire Slayer",0
"Tin Cup",0
"Harry Potter and the Sorcerer's Stone",0
Shrek,0
"THE SILENCE OF THE LAMBS",0
"Green Mile, The",0
"Gone in 60 Seconds",0
"What Lies Beneath",0
"Lion King, The",0
"Godfather, Part II, The",0
"There's Something about Mary",0
"American Pie",0
"Meet the Parents",0
Highlander,0
"Angel Heart",0
"Life of Brian",0
"Terminator 2: Judgement Day",0
"Matrix, The",0
"Game, The",0
"Rosemary's Baby",0
Gladiator,0
"Some Like It Hot",0
"Lawrence of Arabia",0
"Clockwork Orange, A",0
"Unbelievable Truth",0
"The Gods Must be Crazy!",0
"Star Wars Episode II: Attack of the Clones",0
stargate,0
"Last Starfighter, The",0
"French Kiss",0
"Muriel's Wedding",0
"The Color Purple",0
"Little Women",0
"There's Something about Mary",0
"Miss Congeniality",0
"Mad, Mad Mad World",0
"Star Wars Episode I: The Phantom Menace",0
"Little Princess, A",0
Dogma,0
"Almost Famous",0
"South Park: Bigger, Longer, and Uncut",0
Manhattan,0
"High Fidelity",0
"American Psycho",0
"Home for the Holidays",0
"Empire Strikes Back, The",0
Brazil,0
"This is Spinal Tap",0
"Annie Hall",0
Philadelphia,0
"Singin' In The Rain",0
"Moulin Rouge",0
"Seven Samurai",0
"North By Northwest",0
"Beautiful Mind, A",0
"Indiana Jones and the Raiders of the Lost Ark",0
Kingpin,0
"Godfather, The",0
"Beauty and the Beast",0
"Star Wars Episode I: The Phantom Menace",0
"Blues Brothers",0
"Die Hard",0
"Bill & Ted's Excellent Adventure",0
"Lilo & Stitch",0
"Starship Trooper",0
"Blues Brothers 2000",0
"Apocalypse Now",0
"Star Wars",0
Gladiator,0
"Minority Report",0
"Die Hard",0
Hoosiers,0
"Big Chill",0
Amadeus,0
Rocky,0
"Animal House",0
"American Graffiti",0
"Air Force One",0
"American President, The",0
"Affair to Remember",0
Aliens,0
"Empire Strikes Back, The",0
"Star Wars",0
"Singin' In The Rain",0
GoldenEye,0
"The Natural",0
"Enter the Dragon",0
"A Few Good Men",0
"Lord of the Rings: The Fellowship of the Ring, The",0
"I Love Trouble",0
Mulan,0
"My Big Fat Greek Wedding",0
"Terminator, The",0
"Jurassic Park",0
"Journey to the Center of the Earth",0
GoldenEye,0
"From Hell and Back",0
Fletch,0
"English Patient",0
"High Noon",0
"My Big Fat Greek Wedding",0
Gladiator,0
"Bridge on the River Kwai, The",0
"Independence Day",0
Ghost,0
"Indiana Jones and the Temple of Doom",0
"Court Jester, The",0
