47,Doctorate,Male,Own,DSL,Married,2,2,2,1,1,Never,Monthly,DVD,Monthly,Weekly,877723,Rarely,Weekly,Cable,Spouse/Partner,0
31,"Grade School",Female,Own,DSL,Married,2,3,3,3,1,Never,Rarely,DVD,Rarely,Never,917146,Monthly,Rarely,Cable,Children,1
39,"Master's Degree",Male,Own,Dial-Up,Married,2.5,4,2,1,2,Rarely,Rarely,DVD,Monthly,Monthly,917167,Rarely,Weekly,Cable,Spouse/Partner,1
33,"Some College",Male,Rent,DSL,Divorced,1,1,1,1,2,Never,Monthly,DVD,Weekly,Weekly,917173,Monthly,Never,Cable,Me,1
43,"Associate's Degree",Female,Rent,DSL,Married,2,3,2,3,4,Never,Weekly,DVD,Monthly,Daily,917175,Rarely,Weekly,Cable,Me,1
42,"Master's Degree",Male,Own,Dial-Up,Married,3,5,2,2,1,Monthly,Rarely,VHS,Monthly,Monthly,917188,Monthly,Rarely,"Digital Satellite",Me,1
40,"Bachelor's Degree",Male,Own,"Cable Modem",Married,2.5,4,3,2,5,Rarely,Never,DVD,Monthly,Weekly,917211,Monthly,Daily,Cable,Me,1
42,"Master's Degree",Male,Own,"Cable Modem",Married,3,5,2,2,3,Never,Rarely,DVD,Rarely,Weekly,883565,Rarely,Rarely,Cable,Me,2
36,"Some College",Male,Own,DSL,Married,3.5,4,2,3,3,Never,Rarely,DVD,Weekly,Weekly,883597,Monthly,Weekly,Cable,Spouse/Partner,2
31,"Bachelor's Degree",Male,Own,"Cable Modem",Married,2,3,2,1,1,Never,Rarely,VHS,Monthly,Weekly,883613,Rarely,Rarely,"Analog antennae",Me,2
29,"Bachelor's Degree",Male,Own,DSL,Married,2.5,4,2,3,5,Rarely,Monthly,DVD,Weekly,Daily,883619,Rarely,Weekly,"Digital Satellite",Me,2
37,"Bachelor's Degree",Male,Rent,DSL,Married,4.5,5,2,2,2,Never,Monthly,VHS,Monthly,Daily,883624,Monthly,Weekly,Cable,Spouse/Partner,2
37,"Master's Degree",Male,Own,"Cable Modem",Married,2.5,3,2,2,2,Never,Rarely,DVD,Monthly,Monthly,891660,Rarely,Never,Cable,Children,3
42,"Master's Degree",Male,Own,Dial-Up,Married,2,4,2,2,1,Never,Rarely,DVD,Rarely,Monthly,891670,Monthly,Rarely,"Analog antennae",Me,3
32,"Master's Degree",Male,Own,Dial-Up,Married,2.5,4,1,1,1,Rarely,Rarely,VHS,Rarely,Rarely,891671,Rarely,Weekly,Cable,Me,3
32,"Bachelor's Degree",Male,Own,"Cable Modem",Married,2.5,4,2,3,3,Never,Rarely,DVD,Weekly,Weekly,891673,Monthly,Monthly,Cable,Other,3
35,"Bachelor's Degree",Male,Own,Other,Married,2.5,4,2,2,2,Never,Never,DVD,Weekly,Weekly,891675,Monthly,Rarely,Cable,Spouse/Partner,3
44,"Bachelor's Degree",Female,Own,Dial-Up,Divorced,2.5,3,1,1,1,Never,Rarely,DVD,Weekly,Weekly,891684,Rarely,Never,"Don't watch TV",Me,3
28,"Bachelor's Degree",Female,Own,DSL,Married,2.5,4,2,2,2,Never,Rarely,VHS,Rarely,Rarely,891655,Monthly,Weekly,Cable,Spouse/Partner,3
40,"Bachelor's Degree",Male,Own,"Cable Modem",Married,4.5,5,2,2,5,Never,Monthly,DVD,Monthly,Weekly,891644,Rarely,Weekly,Cable,Me,3
